EvaluaterStudentID,TargetStudentID,CourseProjectID,Score,Date
296,290,13,4,2026-05-16
23,44,12,5,2026-05-19
247,301,13,4,2026-05-18
247,320,13,3,2026-05-18
247,285,13,5,2026-05-16
144,378,12,4,2026-05-17
144,322,12,5,2026-05-15
146,367,12,2,2026-05-17
146,129,12,3,2026-05-19
146,233,12,4,2026-05-18
362,246,13,4,2026-05-18
261,340,13,1,2026-05-17
261,303,13,4,2026-05-13
216,233,13,3,2026-05-13
304,255,13,4,2026-05-18
304,370,13,4,2026-05-17
361,344,13,5,2026-05-15
361,225,13,5,2026-05-17
72,359,12,4,2026-05-16
16,321,12,4,2026-05-15
16,340,12,3,2026-05-18
238,289,13,4,2026-05-14
238,298,13,5,2026-05-14
164,42,12,3,2026-05-16
366,310,13,4,2026-05-16
366,270,13,4,2026-05-13
3,39,12,4,2026-05-17
3,229,12,4,2026-05-19
346,373,13,5,2026-05-17
163,348,12,2,2026-05-18
38,23,12,5,2026-05-17
38,44,12,4,2026-05-19
377,367,13,5,2026-05-13
20,59,12,4,2026-05-14
188,159,12,3,2026-05-14
188,351,12,3,2026-05-16
188,331,12,4,2026-05-17
140,106,12,5,2026-05-18
292,319,13,4,2026-05-13
292,328,13,4,2026-05-16
310,325,13,4,2026-05-17
310,338,13,1,2026-05-16
92,60,12,4,2026-05-15
87,270,12,4,2026-05-15
87,258,12,4,2026-05-14
87,373,12,4,2026-05-16
288,285,13,2,2026-05-17
288,312,13,3,2026-05-18
114,130,12,4,2026-05-17
76,256,12,4,2026-05-16
259,304,13,1,2026-05-16
259,226,13,4,2026-05-18
165,170,12,4,2026-05-18
189,287,12,3,2026-05-18
189,157,12,5,2026-05-18
293,315,13,5,2026-05-18
293,339,13,3,2026-05-18
14,43,12,2,2026-05-18
14,169,12,4,2026-05-15
86,296,12,1,2026-05-16
86,256,12,4,2026-05-17
179,57,12,3,2026-05-17
179,230,12,5,2026-05-18
174,283,10,2,2026-05-23
252,279,13,3,2026-05-16
252,299,13,4,2026-05-16
338,366,13,3,2026-05-17
338,263,13,4,2026-05-16
338,325,13,3,2026-05-18
357,309,13,4,2026-05-15
357,352,13,5,2026-05-16
59,198,12,5,2026-05-14
59,20,12,3,2026-05-17
59,40,12,2,2026-05-18
244,254,16,5,2026-05-25
244,309,16,3,2026-05-26
258,280,13,3,2026-05-13
258,371,13,4,2026-05-16
258,267,13,4,2026-05-16
322,231,13,3,2026-05-15
322,313,13,5,2026-05-16
186,47,12,3,2026-05-15
186,325,12,4,2026-05-14
378,353,16,3,2026-05-28
378,208,16,4,2026-05-26
119,63,12,4,2026-05-15
119,84,12,3,2026-05-14
2,33,12,3,2026-05-16
2,224,12,4,2026-05-17
2,68,12,4,2026-05-14
107,259,10,2,2026-05-23
